NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
1,1,1,0,1.72E-15,8.41E-13,0,1.88E-15,9.22E-13,1,1,1
0.1,0.1,0.1,0,1.89E-15,9.23E-13,,,,,,
1.00E-02,0.01,0.01,0,6.22E-16,3.04E-13,,,,,,
1.00E-03,0.001,0.001,0,8.10E-17,3.96E-14,,,,,,
1.00E-04,1.00E-04,0.0001,0,4.51E-18,2.21E-15,,,,,,
1.00E-05,1.00E-05,1.00E-05,0,8.97E-20,4.39E-17,,,,,,
