NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
-3482258.635,-3.48E+06,-3.48E+06,890420.3836,890420.3836,890420.3868,304.8540736,304.8540736,304.8540736,0.995479005,0.995479005,0.995479005
15.06187227,15.06187227,15.06187274,84.91492577,84.91492577,84.91492579,,,,,,
-3.58E-02,-0.035819179,-0.03581918,3.35E-02,0.033491008,0.033491008,,,,,,
-2.020229804,-2.020229804,-2.020229816,0.488399682,0.488399682,0.488399683,,,,,,
-1.033226867,-1.033226867,-1.033226871,0.214274163,0.214274163,0.214274163,,,,,,
-5.11E-02,-0.051104106,-0.051104103,0.2260732,0.2260732,0.2260732,,,,,,
1829.151465,1829.151465,1829.151478,455.4784991,455.4784991,455.4785008,,,,,,
