NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
6.74E-04,0.000673566,0,1.08E-04,0.000107939,NaN,2.05E-04,0.000205177,0.000290052,0.9999999,0.9999999,0.999999795
7.32E-07,7.32E-07,7.33E-07,1.58E-10,1.58E-10,1.02E-10,,,,,,
-3.16E-15,-3.16E-15,-3.40E-15,4.87E-17,4.87E-17,4.30E-17,,,,,,
