NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
1,1.000001598,1.000000096,21523262.47,2.15E+07,2.15E+07,23601450.24,2.36E+07,2.36E+07,2.25E-03,0.002246689,0.002246689
1,0.999996633,0.999999791,236355.1735,2.36E+07,2.36E+07,,,,,,
1,1.000001251,1.000000079,7793435.243,7.79E+06,7.79E+06,,,,,,
1,0.999999831,0.999999989,1014755.076,1.01E+06,1.01E+06,,,,,,
1,1.000000009,1.000000001,56456.65122,56456.65122,56456.65122,,,,,,
1,1,1,1123.248547,1123.248547,1123.248547,,,,,,
