NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
1,1.000000016,1.000000096,215232.6247,215232.6247,215232.6247,236014.5024,236014.5024,236014.5024,0.957478441,0.957478441,0.957478441
1,0.999999966,0.999999791,236355.1735,236355.1735,236355.1735,,,,,,
1,1.000000012,1.000000079,77934.35243,77934.35243,77934.35244,,,,,,
1,0.999999998,0.999999989,10147.55076,10147.55076,10147.55076,,,,,,
1,1,1.000000001,564.5665122,564.5665122,564.5665122,,,,,,
1,1,1,11.23248547,11.23248547,11.23248547,,,,,,
