NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
-0.262323074,-0.262323074,-0.262323074,0.232818234,0.232818234,0.232818234,0.884796396,0.884796396,0.884796396,0.999993746,0.999993746,0.999993746
1.002116818,1.002116818,1.002116818,4.30E-07,0.000429797,0.000429797,,,,,,
