NIST-Beta,R-Beta,Julia-Beta,NIST-SE,R-SE,Julia-SE,NIST-RSD,R-RSD,Julia-RSD,NIST-RSquare,R-RSquare,Julia-RSquare
1,1.000000001,1.000000096,2152.326247,2152.326247,2152.326247,2360.145024,2360.145024,2360.145024,0.999995559,0.999995559,0.999995559
1,1,0.999999791,2363.551735,2363.551735,2363.551735,,,,,,
1,1,1.000000079,779.3435243,779.3435243,779.3435244,,,,,,
1,1,0.999999989,101.4755076,101.4755076,101.4755076,,,,,,
1,1,1.000000001,5.645665122,5.645665122,5.645665122,,,,,,
1,1,1,0.112324855,0.112324855,0.112324855,,,,,,
